id,code,role,first_name,last_name,full_name,gender,birth_date,age,phone,telegram,school,grade,district,group_id,group_name,course_code,mentor_id,tutor_id,curator_id,parent_full_name,parent_relation,parent_phone,parent_telegram,parent_preferred_contact,enrolled_at,monthly_fee,status,attendance_total_lessons,attendance_present,attendance_late,attendance_absent,attendance_absent_excused,attendance_absent_unexcused,attendance_attendance_rate,attendance_punctuality_rate,attendance_missed_covered_by_makeup,attendance_missed_not_covered,attendance_is_behind,homework_assigned,homework_submitted,homework_on_time,homework_late,homework_not_submitted,homework_submission_rate,homework_on_time_rate,homework_avg_score,homework_best_score,coins_balance,coins_total_earned,coins_total_spent,coins_rank_overall,coins_rank_in_group,tutor_sessions_count,makeup_count,performance_score,performance_label,risk_level
61,STU-10061,student,Asadbek,Egamberdiyev,Asadbek Egamberdiyev,male,2008-08-09,18,+998776177410,@asadbek_9679,124-son maktab,11,Yashnobod,6,FE-RCT-006,FE-RCT,13,111,207,Nozima Egamberdiyeva,Ona,+998906570707,@nozima990,telegram,2026-02-09,950000,active,72,52,7,13,6,7,81.9,72.2,2,11,True,60,25,8,17,35,41.7,13.3,46.6,69,739,894,155,160,9,4,2,57.5,Past,high
62,STU-10062,student,Farrux,Jo'rayev,Farrux Jo'rayev,male,2008-05-23,18,+998933466234,@farrux_4586,233-son maktab,11,Yakkasaroy,6,FE-RCT-006,FE-RCT,13,111,207,Xurshid Jo'rayev,Ota,+998978088374,@xurshid261,telegram,2026-02-09,950000,active,72,66,4,2,1,1,97.2,91.7,1,1,False,65,62,53,9,3,95.4,81.5,79.8,95,1367,2072,705,54,6,1,1,90.6,A'lo,low
63,STU-10063,student,Zarina,Bekmurodova,Zarina Bekmurodova,female,2011-09-18,15,+998884465939,@zarina_4273,1-son maktab,9,Sergeli,6,FE-RCT-006,FE-RCT,13,111,207,Nafisa Bekmurodovaa,Ona,+998944926409,@nafisa416,telegram,2026-02-09,950000,active,72,49,11,12,5,7,83.3,68.1,6,6,True,59,51,36,15,8,86.4,61.0,67.2,94,1402,1437,35,48,4,3,6,78.6,Yaxshi,medium
64,STU-10064,student,Husan,Bekmurodov,Husan Bekmurodov,male,2011-04-13,15,+998942546663,@husan_3060,77-son maktab,9,Olmazor,7,FE-RCT-007,FE-RCT,5,112,202,Yulduz Bekmurodova,Ona,+998889492101,@yulduz703,phone,2026-02-09,950000,active,73,62,5,6,2,4,91.8,84.9,3,3,False,65,59,50,9,6,90.8,76.9,77.7,97,1180,1770,590,79,5,1,3,86.6,Yaxshi,low
65,STU-10065,student,Sherzod,Ashurov,Sherzod Ashurov,male,2010-04-02,16,+998771509335,@sherzod_5751,64-son maktab,10,Mirobod,7,FE-RCT-007,FE-RCT,5,112,202,Ozoda Ashurova,Ona,+998988775129,@ozoda906,telegram,2026-02-09,950000,active,73,69,2,2,2,0,97.3,94.5,2,0,False,67,66,64,2,1,98.5,95.5,90.3,100,1542,2672,1130,30,4,2,2,95.2,A'lo,low
66,STU-10066,student,Shohruh,Yusupov,Shohruh Yusupov,male,2010-10-16,16,+998906684845,@shohruh_3393,33-son maktab,10,Sergeli,7,FE-RCT-007,FE-RCT,5,112,202,Muhammadali Yusupov,Ota,+998992629197,@muhammadali557,phone,2026-02-09,950000,active,73,60,8,5,2,3,93.2,82.2,5,0,False,64,53,49,4,11,82.8,76.6,80.0,100,641,1756,1115,179,8,1,5,85.5,Yaxshi,low
67,STU-10067,student,Aziz,Yusupov,Aziz Yusupov,male,2009-12-15,17,+998774912579,@aziz_1571,201-son maktab,11,Sergeli,7,FE-RCT-007,FE-RCT,5,112,202,Dilfuza Yusupova,Ona,+998777667209,@dilfuza222,telegram,2026-02-09,950000,active,73,62,7,4,2,2,94.5,84.9,4,0,False,65,59,50,9,6,90.8,76.9,78.7,98,632,1842,1210,181,9,3,4,87.9,Yaxshi,low
68,STU-10068,student,Temur,Jalilov,Temur Jalilov,male,2010-12-08,16,+998905326898,@temur_8510,178-son maktab,10,Chilonzor,7,FE-RCT-007,FE-RCT,5,112,202,Sardor Jalilov,Ota,+998981994499,@sardor666,telegram,2026-02-09,950000,active,73,36,12,25,6,19,65.8,49.3,9,16,True,48,32,21,11,16,66.7,43.8,49.8,73,562,852,295,201,11,6,9,60.5,Qoniqarli,high
69,STU-10069,student,Xurshid,Karimov,Xurshid Karimov,male,2010-11-24,16,+998917291173,@xurshid_7985,110-son maktab,10,Mirzo Ulug'bek,7,FE-RCT-007,FE-RCT,5,112,202,Muslima Karimova,Ona,+998918897461,@muslima431,telegram,2026-02-09,950000,active,73,65,6,2,0,2,97.3,89.0,2,0,False,65,60,47,13,5,92.3,72.3,76.9,97,1903,1913,10,14,2,1,2,88.7,A'lo,low
70,STU-10070,student,Ulug'bek,Karimov,Ulug'bek Karimov,male,2008-12-07,18,+998917460555,@ulugbek_456,12-son maktab,11,Uchtepa,7,FE-RCT-007,FE-RCT,5,112,202,Temur Karimov,Ota,+998917259502,@temur867,phone,2026-02-09,950000,active,73,63,4,6,3,3,91.8,86.3,4,2,False,66,52,40,12,14,78.8,60.6,67.6,86,784,1669,885,148,7,3,4,79.4,Yaxshi,low
71,STU-10071,student,Feruza,Jo'rayeva,Feruza Jo'rayeva,female,2008-02-21,18,+998938364711,@feruza_2547,64-son maktab,11,Sergeli,7,FE-RCT-007,FE-RCT,5,112,202,Gulnora Jo'rayevaa,Ona,+998941951711,@gulnora284,sms,2026-02-09,950000,active,73,54,8,11,6,5,84.9,74.0,6,5,True,63,49,36,13,14,77.8,57.1,66.2,94,536,1421,885,207,12,4,6,76.2,Yaxshi,medium
72,STU-10072,student,Ulug'bek,Rahimov,Ulug'bek Rahimov,male,2009-10-27,17,+998882915424,@ulugbek_2612,201-son maktab,11,Chilonzor,7,FE-RCT-007,FE-RCT,5,112,202,Feruza Rahimova,Ona,+998979237729,@feruza211,telegram,2026-02-09,950000,active,73,65,4,4,1,3,94.5,89.0,3,1,False,64,56,48,8,8,87.5,75.0,77.5,93,1632,1847,215,27,3,2,3,86.4,Yaxshi,low
73,STU-10073,student,Nafisa,Ismoilova,Nafisa Ismoilova,female,2008-05-04,18,+998917545551,@nafisa_4841,124-son maktab,11,Mirzo Ulug'bek,7,FE-RCT-007,FE-RCT,5,112,202,Laylo Ismoilovaa,Ona,+998988248755,@laylo367,phone,2026-02-09,950000,active,73,40,12,21,7,14,71.2,54.8,6,15,True,55,33,13,20,22,60.0,23.6,50.3,77,618,883,270,186,10,10,6,60.5,Qoniqarli,medium
74,STU-10074,student,Anvar,Mirzayev,Anvar Mirzayev,male,2011-08-26,15,+998991680280,@anvar_6800,45-son maktab,9,Shayxontohur,7,FE-RCT-007,FE-RCT,5,112,202,Rayhona Mirzayeva,Ona,+998881032263,@rayhona908,telegram,2026-02-09,950000,active,73,66,2,5,1,4,93.2,90.4,4,1,False,63,60,50,10,3,95.2,79.4,80.4,99,164,2064,1900,292,15,3,4,89.3,A'lo,low
75,STU-10075,student,Alisher,Sobirov,Alisher Sobirov,male,2010-12-06,16,+998934224243,@alisher_9650,77-son maktab,10,Yashnobod,7,FE-RCT-007,FE-RCT,5,112,202,Otabek Sobirov,Ota,+998779312780,@otabek879,telegram,2026-02-09,950000,active,73,67,2,4,2,2,94.5,91.8,3,1,False,65,63,54,9,2,96.9,83.1,80.5,96,1928,2058,130,11,1,3,3,90.3,A'lo,low
76,STU-10076,student,Xasan,Hamidov,Xasan Hamidov,male,2011-09-26,15,+998883236099,@xasan_4462,52-son maktab,9,Mirzo Ulug'bek,7,FE-RCT-007,FE-RCT,5,112,202,Feruza Hamidova,Ona,+998882515485,@feruza115,sms,2026-02-09,950000,active,73,46,13,14,6,8,80.8,63.0,7,7,True,60,33,16,17,27,55.0,26.7,50.2,70,502,942,440,222,13,8,7,62.4,Qoniqarli,medium
77,STU-10077,student,Akmal,Yusupov,Akmal Yusupov,male,2010-12-12,16,+998987398647,@akmal_9542,7-son maktab,10,Shayxontohur,7,FE-RCT-007,FE-RCT,5,112,202,Sherzod Yusupov,Ota,+998332196916,@sherzod223,telegram,2026-02-09,950000,active,73,56,4,13,5,8,82.2,76.7,5,8,True,59,49,32,17,10,83.1,54.2,64.9,91,238,1448,1220,288,14,5,5,76.4,Yaxshi,medium
78,STU-10078,student,Aziza,Yo'ldosheva,Aziza Yo'ldosheva,female,2008-09-01,18,+998975201989,@aziza_9199,1-son maktab,11,Chilonzor,7,FE-RCT-007,FE-RCT,5,112,202,Javohir Yo'ldosheva,Ota,+998914753046,@javohir733,phone,2026-02-09,950000,active,73,65,6,2,1,1,97.3,89.0,2,0,False,66,64,58,6,2,97.0,87.9,77.3,98,1149,2094,945,84,6,2,2,90.2,A'lo,low
79,STU-10079,student,Aziza,Umarova,Aziza Umarova,female,2012-01-27,14,+998905580399,@aziza_2116,153-son maktab,8,Uchtepa,8,PY-BAS-008,PY-BAS,13,109,201,Rayhona Umarovaa,Ona,+998882725781,@rayhona459,telegram,2026-02-16,700000,active,70,52,7,11,1,10,84.3,74.3,4,7,True,56,42,29,13,14,75.0,51.8,65.4,81,1207,1257,50,73,3,5,4,74.9,Qoniqarli,medium
80,STU-10080,student,Diyor,Qodirov,Diyor Qodirov,male,2014-02-13,12,+998931310526,@diyor_6469,124-son maktab,6,Bektemir,8,PY-BAS-008,PY-BAS,13,109,201,Husan Qodirov,Ota,+998943469950,@husan784,sms,2026-02-16,700000,active,70,57,7,6,4,2,91.4,81.4,5,1,False,63,56,39,17,7,88.9,61.9,65.9,89,1535,1545,10,32,1,2,5,81.7,Yaxshi,low
81,STU-10081,student,Rayhona,Yusupova,Rayhona Yusupova,female,2011-01-25,15,+998776379273,@rayhona_6663,233-son maktab,9,Chilonzor,8,PY-BAS-008,PY-BAS,13,109,201,Feruza Yusupovaa,Ona,+998946621752,@feruza832,sms,2026-02-16,700000,active,70,42,13,15,10,5,78.6,60.0,3,12,True,60,30,15,15,30,50.0,25.0,51.3,84,359,834,475,262,8,6,3,60.5,Qoniqarli,medium
82,STU-10082,student,Ulug'bek,Bekmurodov,Ulug'bek Bekmurodov,male,2013-07-22,13,+998331349434,@ulugbek_3794,24-son maktab,7,Sergeli,8,PY-BAS-008,PY-BAS,13,109,201,Akmal Bekmurodov,Ota,+998334145657,@akmal170,telegram,2026-02-16,700000,active,70,60,6,4,2,2,94.3,85.7,2,2,False,63,56,51,5,7,88.9,81.0,79.3,96,938,1778,840,113,5,3,2,87.4,Yaxshi,low
83,STU-10083,student,Laylo,Tolipova,Laylo Tolipova,female,2009-01-26,17,+998973041780,@laylo_8624,1-son maktab,11,Sergeli,8,PY-BAS-008,PY-BAS,13,109,201,Sardor Tolipova,Ota,+998775587446,@sardor743,telegram,2026-02-16,700000,active,70,54,7,9,4,5,87.1,77.1,3,6,True,60,48,33,15,12,80.0,55.0,66.7,90,532,1337,805,208,7,6,3,77.8,Yaxshi,low
84,STU-10084,student,Sardor,Norqulov,Sardor Norqulov,male,2014-05-12,12,+998333489861,@sardor_7308,18-son maktab,6,Mirobod,8,PY-BAS-008,PY-BAS,13,109,201,Jasur Norqulov,Ota,+998779619779,@jasur374,telegram,2026-02-16,700000,active,70,53,6,11,4,7,84.3,75.7,3,8,True,60,46,32,14,14,76.7,53.3,67.5,98,815,1350,535,139,6,6,3,76.1,Yaxshi,medium
85,STU-10085,student,Anvar,Hamidov,Anvar Hamidov,male,2010-05-09,16,+998988732340,@anvar_9078,77-son maktab,10,Bektemir,8,PY-BAS-008,PY-BAS,13,109,201,Otabek Hamidov,Ota,+998884718100,@otabek765,sms,2026-02-16,700000,active,70,60,7,3,2,1,95.7,85.7,2,1,False,64,57,49,8,7,89.1,76.6,79.1,94,334,1839,1505,266,9,3,2,87.9,Yaxshi,low
86,STU-10086,student,Bobur,Rahimov,Bobur Rahimov,male,2013-06-08,13,+998946435021,@bobur_9220,89-son maktab,7,Uchtepa,8,PY-BAS-008,PY-BAS,13,109,201,Nurbek Rahimov,Ota,+998777651400,@nurbek112,telegram,2026-02-16,700000,active,70,67,2,1,1,0,98.6,95.7,1,0,False,65,56,52,4,9,86.2,80.0,79.9,97,941,2121,1180,111,4,2,1,88.3,A'lo,low
87,STU-10087,student,Sanjar,Norqulov,Sanjar Norqulov,male,2014-01-06,12,+998919739741,@sanjar_3789,24-son maktab,6,Sergeli,8,PY-BAS-008,PY-BAS,13,109,201,Sherzod Norqulov,Ota,+998909673746,@sherzod497,sms,2026-02-16,700000,active,70,62,4,4,3,1,94.3,88.6,3,1,False,64,62,55,7,2,96.9,85.9,80.5,100,1366,2051,685,55,2,3,3,90.2,A'lo,low
88,STU-10088,student,Gulnora,Umarova,Gulnora Umarova,female,2010-10-28,16,+998911072541,@gulnora_6824,233-son maktab,10,Bektemir,9,PY-BAS-009,PY-BAS,11,105,204,Yulduz Umarovaa,Ona,+998885507746,@yulduz903,phone,2026-02-09,700000,active,73,60,6,7,4,3,90.4,82.2,6,1,False,64,61,48,13,3,95.3,75.0,77.6,96,1690,1905,215,23,2,2,6,87.4,Yaxshi,low
89,STU-10089,student,Behruz,Mirzayev,Behruz Mirzayev,male,2011-05-28,15,+998999826855,@behruz_9198,110-son maktab,9,Yakkasaroy,9,PY-BAS-009,PY-BAS,11,105,204,Farrux Mirzayev,Ota,+998885832895,@farrux840,telegram,2026-02-09,700000,active,73,62,7,4,3,1,94.5,84.9,3,1,False,66,58,51,7,8,87.9,77.3,79.3,96,462,1867,1405,236,12,2,3,87.2,Yaxshi,low
90,STU-10090,student,Elyor,Rustamov,Elyor Rustamov,male,2011-05-06,15,+998986433585,@elyor_4075,89-son maktab,9,Yashnobod,9,PY-BAS-009,PY-BAS,11,105,204,Nafisa Rustamova,Ona,+998997324994,@nafisa695,phone,2026-02-09,700000,active,73,72,1,0,0,0,100.0,98.6,0,0,False,67,66,64,2,1,98.5,95.5,91.2,100,1429,2859,1430,44,5,1,0,96.5,A'lo,low
91,STU-10091,student,Malika,Rahimova,Malika Rahimova,female,2014-05-19,12,+998981683032,@malika_9843,101-son maktab,6,Uchtepa,9,PY-BAS-009,PY-BAS,11,105,204,Nozima Rahimovaa,Ona,+998338334323,@nozima629,sms,2026-02-09,700000,active,73,67,2,4,2,2,94.5,91.8,3,1,False,65,62,52,10,3,95.4,80.0,78.6,97,967,2097,1130,106,8,2,3,89.2,A'lo,low
92,STU-10092,student,Charos,Toshmatova,Charos Toshmatova,female,2010-04-04,16,+998886759277,@charos_8785,12-son maktab,10,Mirzo Ulug'bek,9,PY-BAS-009,PY-BAS,11,105,204,Ozoda Toshmatovaa,Ona,+998333587389,@ozoda292,sms,2026-02-09,700000,active,73,62,6,5,3,2,93.2,84.9,2,3,False,65,56,32,24,9,86.2,49.2,64.8,89,1631,1641,10,28,3,2,2,81.2,Yaxshi,low
93,STU-10093,student,Akmal,Toshmatov,Akmal Toshmatov,male,2012-09-06,14,+998334486208,@akmal_8372,45-son maktab,8,Sergeli,9,PY-BAS-009,PY-BAS,11,105,204,Anvar Toshmatov,Ota,+998338061314,@anvar746,phone,2026-02-09,700000,active,73,58,5,10,3,7,86.3,79.5,8,2,False,61,53,39,14,8,86.9,63.9,66.4,90,1338,1623,285,60,6,2,8,79.5,Yaxshi,low
94,STU-10094,student,Shohruh,Bekmurodov,Shohruh Bekmurodov,male,2010-11-21,16,+998992652508,@shohruh_9704,1-son maktab,10,Yakkasaroy,9,PY-BAS-009,PY-BAS,11,105,204,Asadbek Bekmurodov,Ota,+998906146250,@asadbek827,telegram,2026-02-09,700000,active,73,47,11,15,9,6,79.5,64.4,6,9,True,61,32,17,15,29,52.5,27.9,52.9,73,805,955,150,144,10,4,6,62.1,Qoniqarli,medium
95,STU-10095,student,Nodir,Yo'ldoshev,Nodir Yo'ldoshev,male,2010-10-09,16,+998332789225,@nodir_575,18-son maktab,10,Yunusobod,9,PY-BAS-009,PY-BAS,11,105,204,Rustam Yo'ldoshev,Ota,+998773038454,@rustam248,phone,2026-02-09,700000,active,73,50,10,13,6,7,82.2,68.5,6,7,True,61,46,24,22,15,75.4,39.3,63.3,83,896,1261,365,124,9,4,6,73.5,Qoniqarli,medium
96,STU-10096,student,Xasan,Yo'ldoshev,Xasan Yo'ldoshev,male,2011-10-14,15,+998972668590,@xasan_9639,12-son maktab,9,Olmazor,9,PY-BAS-009,PY-BAS,11,105,204,Bekzod Yo'ldoshev,Ota,+998934997388,@bekzod462,telegram,2026-02-09,700000,active,73,59,11,3,2,1,95.9,80.8,3,0,False,66,61,52,9,5,92.4,78.8,78.2,93,390,1865,1475,253,13,3,3,88.7,A'lo,low
97,STU-10097,student,Farrux,Rahimov,Farrux Rahimov,male,2014-04-13,12,+998773911370,@farrux_5257,1-son maktab,6,Uchtepa,9,PY-BAS-009,PY-BAS,11,105,204,Umar Rahimov,Ota,+998774997885,@umar355,phone,2026-02-09,700000,active,73,69,1,3,2,1,95.9,94.5,3,0,False,66,66,62,4,0,100.0,93.9,90.7,100,1526,2931,1405,34,4,1,3,95.3,A'lo,low
98,STU-10098,student,Muhammadali,Yo'ldoshev,Muhammadali Yo'ldoshev,male,2014-04-22,12,+998942467430,@muhammadali_2942,33-son maktab,6,Olmazor,9,PY-BAS-009,PY-BAS,11,105,204,Charos Yo'ldosheva,Ona,+998996186808,@charos508,sms,2026-02-09,700000,active,73,66,2,5,2,3,93.2,90.4,3,2,False,64,61,57,4,3,95.3,89.1,89.3,100,1924,2589,665,12,1,1,3,92.5,A'lo,low
99,STU-10099,student,Bekzod,Norqulov,Bekzod Norqulov,male,2011-09-12,15,+998996892956,@bekzod_9174,52-son maktab,9,Sergeli,9,PY-BAS-009,PY-BAS,11,105,204,Ravshan Norqulov,Ota,+998987764507,@ravshan766,telegram,2026-02-09,700000,active,73,28,15,30,12,18,58.9,38.4,9,21,True,50,19,6,13,31,38.0,12.0,40.1,71,570,650,90,199,11,11,9,46.0,Past,high
100,STU-10100,student,Anvar,Bekmurodov,Anvar Bekmurodov,male,2013-07-02,13,+998973144034,@anvar_9192,153-son maktab,7,Uchtepa,9,PY-BAS-009,PY-BAS,11,105,204,Charos Bekmurodova,Ona,+998983615457,@charos347,phone,2026-02-09,700000,active,73,68,1,4,1,3,94.5,93.2,3,1,False,65,63,59,4,2,96.9,90.8,90.8,100,1185,2750,1565,78,7,2,3,93.9,A'lo,low
101,STU-10101,student,Sherzod,Ismoilov,Sherzod Ismoilov,male,2009-07-13,17,+998978387792,@sherzod_9726,101-son maktab,11,Mirobod,10,PY-BAS-010,PY-BAS,4,112,207,Bobur Ismoilov,Ota,+998334430026,@bobur332,sms,2026-02-09,700000,active,72,53,11,8,4,4,88.9,73.6,6,2,False,62,49,34,15,13,79.0,54.8,65.9,94,826,1426,600,137,8,6,6,77.9,Yaxshi,low
102,STU-10102,student,Nurbek,Ismoilov,Nurbek Ismoilov,male,2013-02-22,13,+998992443460,@nurbek_3000,52-son maktab,7,Olmazor,10,PY-BAS-010,PY-BAS,4,112,207,Husan Ismoilov,Ota,+998991481788,@husan773,phone,2026-02-09,700000,active,72,59,4,9,4,5,87.5,81.9,8,1,False,63,54,44,10,9,85.7,69.8,79.4,98,1447,1772,325,43,3,1,8,84.1,Yaxshi,low
103,STU-10103,student,Shohruh,Toshmatov,Shohruh Toshmatov,male,2010-06-26,16,+998995737282,@shohruh_5931,110-son maktab,10,Uchtepa,10,PY-BAS-010,PY-BAS,4,112,207,Madina Toshmatova,Ona,+998972475390,@madina331,telegram,2026-02-09,700000,active,72,66,1,5,1,4,93.1,91.7,5,0,False,62,61,57,4,1,98.4,91.9,91.6,100,2014,2734,720,8,2,1,5,94.2,A'lo,low
104,STU-10104,student,Odina,Sultonova,Odina Sultonova,female,2012-03-01,14,+998996907484,@odina_1700,33-son maktab,8,Shayxontohur,10,PY-BAS-010,PY-BAS,4,112,207,Charos Sultonovaa,Ona,+998991423852,@charos774,sms,2026-02-09,700000,active,72,57,11,4,0,4,94.4,79.2,3,1,False,62,57,47,10,5,91.9,75.8,78.6,95,1305,1785,480,64,5,1,3,88.1,A'lo,low
105,STU-10105,student,Firdavs,Yusupov,Firdavs Yusupov,male,2011-01-20,15,+998934819416,@firdavs_9441,178-son maktab,9,Mirobod,10,PY-BAS-010,PY-BAS,4,112,207,Amirbek Yusupov,Ota,+998973620419,@amirbek489,telegram,2026-02-09,700000,active,72,57,4,11,3,8,84.7,79.2,6,5,True,59,51,34,17,8,86.4,57.6,67.4,96,287,1477,1190,279,11,4,6,79.2,Yaxshi,medium
106,STU-10106,student,Amirbek,Bekmurodov,Amirbek Bekmurodov,male,2014-02-27,12,+998982445136,@amirbek_6935,110-son maktab,6,Bektemir,10,PY-BAS-010,PY-BAS,4,112,207,Nilufar Bekmurodova,Ona,+998942865413,@nilufar138,telegram,2026-02-09,700000,active,72,64,4,4,1,3,94.4,88.9,4,0,False,64,60,48,12,4,93.8,75.0,77.1,97,1186,1961,775,77,6,1,4,88.2,A'lo,low
107,STU-10107,student,Kamola,Ergasheva,Kamola Ergasheva,female,2012-07-15,14,+998333141521,@kamola_8120,45-son maktab,8,Chilonzor,10,PY-BAS-010,PY-BAS,4,112,207,Munisa Ergashevaa,Ona,+998331911012,@munisa792,phone,2026-02-09,700000,active,72,62,5,5,2,3,93.1,86.1,3,2,False,63,58,49,9,5,92.1,77.8,78.9,96,720,1930,1215,165,10,1,3,87.8,Yaxshi,low
108,STU-10108,student,Yulduz,Tursunova,Yulduz Tursunova,female,2013-09-06,13,+998914379114,@yulduz_5188,24-son maktab,7,Mirzo Ulug'bek,10,PY-BAS-010,PY-BAS,4,112,207,Husan Tursunova,Ota,+998941996283,@husan272,telegram,2026-02-09,700000,active,72,59,5,8,3,5,88.9,81.9,7,1,False,62,58,48,10,4,93.5,77.4,78.1,97,1429,1704,275,45,4,3,7,86.5,Yaxshi,low
109,STU-10109,student,Zarina,Egamberdiyeva,Zarina Egamberdiyeva,female,2013-12-08,13,+998935039467,@zarina_5565,18-son maktab,7,Mirobod,10,PY-BAS-010,PY-BAS,4,112,207,Nurbek Egamberdiyeva,Ota,+998936896537,@nurbek814,telegram,2026-02-09,700000,active,72,68,1,3,1,2,95.8,94.4,2,1,False,64,63,62,1,1,98.4,96.9,90.6,100,945,2775,1830,110,7,0,2,94.8,A'lo,low
110,STU-10110,student,Temur,Mirzayev,Temur Mirzayev,male,2010-08-27,16,+998902012200,@temur_4701,77-son maktab,10,Yashnobod,10,PY-BAS-010,PY-BAS,4,112,207,Yulduz Mirzayeva,Ona,+998915854322,@yulduz112,telegram,2026-02-09,700000,active,72,54,13,5,4,1,93.1,75.0,3,2,False,65,50,32,18,15,76.9,49.2,65.2,87,774,1399,625,150,9,3,3,78.5,Yaxshi,low
111,STU-10111,student,Bobur,Shodmonov,Bobur Shodmonov,male,2014-03-11,12,+998889145755,@bobur_1475,89-son maktab,6,Bektemir,10,PY-BAS-010,PY-BAS,4,112,207,Gulbahor Shodmonova,Ona,+998973820171,@gulbahor670,telegram,2026-02-09,700000,active,72,71,0,1,0,1,98.6,98.6,1,0,False,65,64,58,6,1,98.5,89.2,89.6,100,2551,2716,165,2,1,1,1,95.4,A'lo,low
112,STU-10112,student,Elyor,Qurbonov,Elyor Qurbonov,male,2011-04-26,15,+998913326202,@elyor_553,1-son maktab,9,Sergeli,11,PY-BAS-011,PY-BAS,12,103,201,Malika Qurbonova,Ona,+998915797832,@malika742,telegram,2026-02-02,700000,active,75,52,13,10,4,6,86.7,69.3,5,5,True,63,49,36,13,14,77.8,57.1,65.7,89,1076,1356,280,90,4,3,5,76.7,Yaxshi,low
113,STU-10113,student,Nozima,Jalilova,Nozima Jalilova,female,2013-11-17,13,+998986371319,@nozima_3872,101-son maktab,7,Mirzo Ulug'bek,11,PY-BAS-011,PY-BAS,12,103,201,Shohruh Jalilova,Ota,+998776480671,@shohruh488,phone,2026-02-02,700000,active,75,57,8,10,4,6,86.7,76.0,5,5,True,63,50,36,14,13,79.4,57.1,67.2,97,285,1475,1190,280,12,4,5,77.7,Yaxshi,low
114,STU-10114,student,Akmal,Tursunov,Akmal Tursunov,male,2013-01-02,13,+998972346082,@akmal_2424,52-son maktab,7,Mirzo Ulug'bek,11,PY-BAS-011,PY-BAS,12,103,201,Behruz Tursunov,Ota,+998949294317,@behruz533,sms,2026-02-02,700000,active,75,58,7,10,4,6,86.7,77.3,4,6,True,63,49,32,17,14,77.8,50.8,64.7,96,881,1561,680,127,7,5,4,76.3,Yaxshi,low
115,STU-10115,student,Behruz,Ergashev,Behruz Ergashev,male,2014-08-16,12,+998911927750,@behruz_8531,124-son maktab,6,Olmazor,11,PY-BAS-011,PY-BAS,12,103,201,Sanjar Ergashev,Ota,+998901537227,@sanjar961,sms,2026-02-02,700000,active,75,70,1,4,1,3,94.7,93.3,4,0,False,66,64,63,1,2,97.0,95.5,91.1,100,2244,2889,645,6,1,0,4,94.1,A'lo,low
116,STU-10116,student,Bekzod,Sobirov,Bekzod Sobirov,male,2009-03-13,17,+998336430695,@bekzod_8566,153-son maktab,11,Sergeli,11,PY-BAS-011,PY-BAS,12,103,201,Malika Sobirova,Ona,+998776840190,@malika681,phone,2026-02-02,700000,active,75,54,6,15,7,8,80.0,72.0,4,11,True,61,51,37,14,10,83.6,60.7,64.6,88,1248,1408,160,68,3,2,4,75.7,Yaxshi,medium
117,STU-10117,student,Odina,Mirzayeva,Odina Mirzayeva,female,2011-10-20,15,+998883295998,@odina_5003,89-son maktab,9,Mirobod,11,PY-BAS-011,PY-BAS,12,103,201,Aziz Mirzayeva,Ota,+998775983482,@aziz678,sms,2026-02-02,700000,active,75,37,11,27,12,15,64.0,49.3,6,21,True,55,16,5,11,39,29.1,9.1,32.0,57,560,715,155,202,9,5,6,42.3,Past,high
118,STU-10118,student,Malika,Umarova,Malika Umarova,female,2013-11-24,13,+998948404924,@malika_6593,64-son maktab,7,Yunusobod,11,PY-BAS-011,PY-BAS,12,103,201,Munisa Umarovaa,Ona,+998937241290,@munisa668,sms,2026-02-02,700000,active,75,64,4,7,4,3,90.7,85.3,5,2,False,66,57,50,7,9,86.4,75.8,78.7,99,761,1916,1155,156,8,3,5,85.2,Yaxshi,low
119,STU-10119,student,Rustam,Qodirov,Rustam Qodirov,male,2013-05-21,13,+998772896124,@rustam_8508,12-son maktab,7,Sergeli,11,PY-BAS-011,PY-BAS,12,103,201,Rustam Qodirov,Ota,+998884808263,@rustam667,sms,2026-02-02,700000,active,75,61,8,6,0,6,92.0,81.3,5,1,False,63,56,47,9,7,88.9,74.6,80.1,97,438,1878,1440,243,10,3,5,86.9,Yaxshi,low
120,STU-10120,student,Nafisa,Shodmonova,Nafisa Shodmonova,female,2013-09-18,13,+998948970998,@nafisa_1625,24-son maktab,7,Olmazor,11,PY-BAS-011,PY-BAS,12,103,201,Nurbek Shodmonova,Ota,+998887576043,@nurbek657,phone,2026-02-02,700000,active,75,27,7,41,25,16,45.3,36.0,6,35,True,54,8,5,3,46,14.8,9.3,34.6,50,374,454,80,259,11,10,6,32.4,Past,high
121,STU-10121,student,Nilufar,Ashurova,Nilufar Ashurova,female,2013-01-12,13,+998914382274,@nilufar_9323,18-son maktab,7,Olmazor,11,PY-BAS-011,PY-BAS,12,103,201,Bekzod Ashurova,Ota,+998886031990,@bekzod223,phone,2026-02-02,700000,active,75,62,7,6,2,4,92.0,82.7,4,2,False,66,64,57,7,2,97.0,86.4,79.2,97,947,2167,1220,109,6,3,4,89.0,A'lo,low
